id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
102,UNESCO somehow converted the founding U.N. ideals of individual rights and liberty into `` peoples ' rights . '',1.7483832078354533,0.3001050126628027,0.6639082607195744,0.7400065748564413,0.6998949873371973
103,Million-dollar conferences were held to chew on subjects such as `` ethical responsibilities of scientists in support of disarmament '' and `` the impact of the activities of transnational corporations . '',1.4061890516354083,0.25509675081043215,0.744805765311447,0.745000758589378,0.7449032491895681
104,The agency was so totally subverted from the high principles of its founding that even the Soviets now wonder about an agency that seemed so congenial to them .,2.2546233788018673,0.45453116198220067,0.4184285147483848,0.7832840259410009,0.5454688380177993
105,"Glasnost may be partly responsible , but Soviet Foreign Minister Eduard Shevardnadze last year admitted , `` The exaggerated ideological approach undermined tolerance intrinsic to UNESCO . ''",1.8976938539202601,0.31010351170323547,0.6843575532406911,0.6955258151032513,0.6898964882967646
106,UNESCO is now holding its biennial meetings in Paris to devise its next projects .,2.1576351984400173,0.4003420493677276,0.4987069101618764,0.7518520441842489,0.5996579506322721
107,Mr. Mayor 's hope that references to `` press freedom '' would survive unamended seems doomed to failure ; the current phrasing is `` educating the public and media to avoid manipulation . '',1.9915785899416245,0.348526701784799,0.6119021589791591,0.6965163584424939,0.651473298215201
108,He has n't been able to replace the M'Bow cabal .,1.7049897729239514,0.3270101939722271,0.5667176609561722,0.8283177825865047,0.6729898060277729
109,"Soviets remain in charge of education programs , a former head of an African military tribunal for executions is in charge of culture , and a hard-line Polish communist in exile directs the human-rights and peace division .",1.9156312505123991,0.3582440167710986,0.6409211869868359,0.6425929569419323,0.6417559832289012
110,"Of the agency 's 2,750 staff members , 230 are in the field working on actual projects , such as literacy and oceanographic research .",1.7646351160445342,0.30412708006242867,0.6919949448413075,0.6997946047271236,0.6958729199375712
111,"The position of the United States , which once contributed 25 % of the budget , is that nothing has changed .",1.5008886367569954,0.22432454250559677,0.7527137801331618,0.8000821149392627,0.7756754574944035
112,"John Bolton , the assistant secretary of state for international organizations , told Congress that the continuing `` statist , restrictive , nondemocratic '' programs make rejoining any time soon `` extremely unlikely . ''",1.9292298135049073,0.3155031879381475,0.7155373413952545,0.6560374319938506,0.6844968120618522
113,"This has n't much bothered the UNESCO delegates , who last week could n't even agree to raise funds by selling off a fancy 19th-century French chateau the agency somehow owns .",2.3326625910654433,0.38909116381634634,0.5400114181226111,0.7032357740930164,0.6109088361836534
114,"Other countries , including West Germany , may have a hard time justifying continued membership .",2.1336853429636005,0.3976071996012902,0.6016929677979022,0.6030942628539709,0.6023928003987095
115,We see an even stronger argument against UNESCO than its unsurprising failure to reform .,1.2094472966717515,0.23856400933739208,0.6420397749887258,0.9353835580681834,0.7614359906626078
